,Seed,MatrixSize,IterSpace,Path,Length,Time
0,1,10,1000,"[6, 1, 9, 0, 2, 3, 7, 4, 5, 8]",48.0,0.001795469000171579
1,1,10,3000,"[4, 3, 7, 6, 5, 8, 0, 2, 1, 9]",43.0,0.0050123460000577325
2,1,10,1000,"[7, 4, 3, 6, 5, 8, 2, 1, 9, 0]",56.0,0.0021007489999647078
3,1,10,3000,"[1, 6, 8, 5, 4, 3, 7, 9, 0, 2]",67.0,0.005116234999604785
4,1,10,1000,"[8, 0, 2, 9, 1, 7, 6, 5, 4, 3]",63.0,0.001696143000117445
5,1,10,3000,"[0, 7, 4, 3, 6, 2, 9, 1, 5, 8]",53.0,0.0046889870000086376
6,1,10,1000,"[9, 1, 5, 7, 4, 0, 2, 3, 6, 8]",81.0,0.0017037210000125924
7,1,10,3000,"[2, 8, 5, 4, 3, 6, 1, 9, 0, 7]",63.0,0.0054482679997818195
8,1,11,1000,"[2, 7, 8, 3, 4, 9, 0, 1, 5, 6, 10]",55.0,0.0019926229997508926
9,1,11,3000,"[5, 6, 10, 3, 4, 9, 0, 2, 7, 8, 1]",45.0,0.005220334000114235
10,1,11,1000,"[9, 10, 7, 5, 6, 3, 4, 0, 1, 8, 2]",56.0,0.0018220260003545263
11,1,11,3000,"[4, 9, 0, 2, 7, 8, 1, 5, 6, 10, 3]",45.0,0.005176280999876326
12,1,11,1000,"[1, 5, 10, 7, 2, 0, 6, 8, 3, 4, 9]",69.0,0.0018366909998803749
13,1,11,3000,"[9, 8, 1, 5, 3, 4, 0, 6, 10, 7, 2]",54.0,0.004986400999769103
14,1,11,1000,"[5, 6, 10, 3, 4, 0, 1, 9, 8, 2, 7]",50.0,0.0017825330000960093
15,1,11,3000,"[9, 0, 1, 5, 3, 4, 6, 10, 7, 8, 2]",31.0,0.00497063300008449
16,42,10,1000,"[2, 8, 7, 3, 5, 6, 4, 9, 0, 1]",54.0,0.0019036490002690698
17,42,10,3000,"[3, 5, 6, 4, 7, 8, 2, 0, 1, 9]",48.0,0.004813067000213778
18,42,10,1000,"[3, 5, 0, 6, 4, 9, 1, 7, 8, 2]",63.0,0.0016196480000871816
19,42,10,3000,"[9, 8, 5, 7, 1, 2, 0, 4, 3, 6]",58.0,0.004486959000132629
20,42,10,1000,"[3, 4, 7, 9, 1, 2, 6, 8, 5, 0]",63.0,0.0015934779999042803
21,42,10,3000,"[4, 9, 3, 6, 0, 1, 2, 8, 5, 7]",44.0,0.004795349000232818
22,42,10,1000,"[5, 7, 3, 6, 2, 8, 4, 9, 0, 1]",63.0,0.0017751400000634021
23,42,10,3000,"[0, 1, 2, 6, 4, 9, 3, 5, 7, 8]",43.0,0.0047963340002752375
24,42,11,1000,"[7, 0, 4, 8, 5, 1, 9, 3, 2, 6, 10]",59.0,0.0019212520001019584
25,42,11,3000,"[9, 8, 1, 7, 0, 4, 6, 3, 2, 10, 5]",63.0,0.005474324999795499
26,42,11,1000,"[3, 1, 0, 4, 6, 7, 8, 10, 5, 9, 2]",65.0,0.0019529790001797664
27,42,11,3000,"[7, 0, 1, 9, 8, 10, 5, 4, 6, 3, 2]",45.0,0.005439007999939349
28,42,11,1000,"[7, 0, 1, 9, 5, 4, 8, 10, 2, 6, 3]",58.0,0.001975495000351657
29,42,11,3000,"[0, 1, 5, 9, 7, 8, 10, 2, 4, 6, 3]",59.0,0.005779443999927025
30,42,11,1000,"[0, 10, 5, 3, 2, 6, 7, 4, 8, 1, 9]",62.0,0.0018691810000746045
31,42,11,3000,"[10, 5, 3, 2, 6, 1, 9, 7, 0, 4, 8]",58.0,0.00536308500022642
